"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","EE","Estonia",382.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","ES","Spain",7064.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","EU27_21","EU (without UK)",148328.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","EU27_UK_21","EU (with UK until 2019)",214710.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","EUEEA30_21","EU/EEA (without UK)",151720.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","EUEEAUK_21","EU/EEA (with UK until 2019)",218102.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","FI","Finland",4066.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","FR","France",5198.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","HR","Croatia",0.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","HU","Hungary",7247.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","IE","Ireland",2288.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","IS","Iceland",101.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","IT","Italy",1178.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","LT","Lithuania",1139.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","LU","Luxembourg",675.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","LV","Latvia",9.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","MT","Malta",246.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","NL","Netherlands",3702.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","NO","Norway",3291.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","PL","Poland",552.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","RO","Romania",218.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","SE","Sweden",8114.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","SI","Slovenia",1027.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","SK","Slovakia",5845.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","UK","United Kingdom",66382.000000000,""
